,SimulatedAnnealing,SimulatedAnnealing_time,RandomSearch,RandomSearch_time,IP,IP_time,hyperheuristic,hyperheuristic_time,default,min_weight,max_value,max_ratio,max_weight,min_value,min_ratio
0,4054.0,0.0032119000000001563,5233.0,0.0025554999999997108,9147.0,0.008802600000000105,8693.0,5.962307000000001,0,14,0,0,0,1,0
1,5441.0,0.007366100000000486,6599.0,0.005627600000000399,11238.0,0.014860999999999791,11227.0,5.7671372000000005,0,23,0,2,0,6,3
2,14008.0,0.03497169999999983,12553.0,0.027361400000000202,28857.0,0.019274100000000516,25842.0,8.3553368,0,52,0,2,0,6,1
3,18386.0,0.10277549999999991,22071.0,0.0922938000000002,54503.0,0.030908099999997773,52373.0,28.504355399999998,3,166,0,11,2,67,22
4,29141.0,0.30243289999999945,31649.0,0.26400539999999495,110625.0,0.07136489999999895,98649.0,21.4476073,0,199,0,3,0,15,6
5,64754.0,1.8892153999999977,71094.0,1.4388974000000019,276450.0,0.19091290000000072,246843.0,60.5689574,1,552,0,5,3,68,20
6,128368.0,6.34487519999999,133063.0,5.407966400000021,563640.0,0.4480463999999813,498872.0,159.4461047,2,1170,0,21,13,170,55
7,1248.0,0.003808100000014747,1309.0,0.0021502000000168664,1514.0,0.01704109999997172,951.0,43.7529667,0,15,0,1,1,1,1
8,1244.0,0.10610760000002983,1275.0,0.004515400000002501,1634.0,0.025075700000002143,1096.0,4.1918946999999775,0,19,0,1,1,1,1
9,3294.0,0.058952499999975316,2937.0,0.016283599999951548,4566.0,0.018191699999988487,3105.0,5.50804149999999,0,46,0,1,0,0,0
10,5853.0,0.1222362999999973,5728.0,0.06008350000001883,9052.0,0.043163899999967725,6152.0,8.770360499999981,0,90,0,3,0,1,0
11,11176.0,0.27990330000000085,11487.0,0.20255919999999605,18051.0,0.10472299999997858,11972.0,15.980016400000011,0,179,0,4,0,1,1
12,27845.0,2.769256700000028,27512.0,1.03117739999999,44353.0,0.11629429999999275,28084.0,43.41002609999998,0,473,0,8,2,10,2
13,55471.0,5.423280599999998,55608.0,3.903953999999999,90198.0,0.3203844000000231,59173.0,112.76128859999994,0,963,0,16,4,14,6
14,1993.0,0.004199800000037612,1690.0,0.0021517000000130793,2397.0,0.006950400000050649,2375.0,3.669096399999944,0,13,0,1,0,0,0
15,1886.0,0.006925000000023829,1693.0,0.004179499999963809,2697.0,0.008695099999954436,2649.0,3.8365649000000985,0,16,0,1,0,0,0
16,4198.0,0.030191600000080143,3512.0,0.01676210000005085,7117.0,0.013454799999976785,7098.0,5.83572920000006,0,46,0,1,0,1,0
17,7190.0,0.07835799999998017,7090.0,0.06326309999997193,14390.0,0.06011019999994005,14374.0,9.44484220000004,0,97,0,2,0,5,0
18,13319.0,0.26903219999996963,13518.0,0.20372789999998986,28919.0,0.08582400000000234,28827.0,17.193753499999957,0,194,0,4,0,6,1
19,31405.0,1.219308500000011,32305.0,1.0662500000000819,72505.0,0.10861340000008113,72446.0,46.77504829999998,0,483,0,14,0,19,1
20,63815.0,4.85493340000005,63313.0,3.6835762000000614,146919.0,0.1313251000000264,146908.0,114.68373540000005,1,996,0,22,1,40,4
21,293.0,0.0027302000000872795,246.0,0.000422500000013315,295.0,0.004831499999909283,295.0,6.1634926000000405,2,15,1,0,8,4,0
22,1018.0,0.0029963000000634565,1018.0,0.0012587999999595922,1024.0,0.005813199999920471,1018.0,9.840496599999938,13,26,8,0,30,0,0
23,35.0,0.0022898000000850516,35.0,0.0002483000000665925,35.0,0.0034241999999267136,35.0,5.292987400000015,0,3,0,0,0,0,0
24,23.0,0.002425500000072134,16.0,0.00022309999997105479,23.0,0.005312600000024759,19.0,4.481311900000037,2,9,0,4,2,8,3
25,446.0,0.0020382999999810636,343.0,0.0007217999999511449,486.0,0.0035618999999087464,436.0,6.382933800000046,4,23,3,0,16,2,2
26,47.0,0.011673000000087086,40.0,0.00043610000000171567,52.0,0.0038846999999577747,52.0,4.2726248999999825,1,10,0,1,0,4,1
27,102.0,0.0008768000000145548,102.0,0.0003126000000293061,107.0,0.003693200000043362,79.0,3.00164749999999,0,5,0,0,0,0,0
28,9745.0,0.0016077999999879466,9745.0,0.0010694000000057713,9767.0,1.4954312000000982,9559.0,5.369393399999922,1,19,0,0,0,7,0
29,130.0,0.0008361000000149943,130.0,0.0002914000000373562,130.0,0.0030938999999534644,130.0,2.999568199999999,2,3,1,1,0,2,1
30,1025.0,0.0031683999999359003,1010.0,0.0012685000000374203,1025.0,0.005583699999988312,1019.0,9.052880500000015,7,21,6,0,17,0,0
